% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
49.8,89.86,27.96,21341,42854,5/22/2018 2:00:00 PM,5/22/2018 2:00:00 PM,31,156.84,5,5,37,94.71,1,3999,91,13,321.83,220,4,31,39506,848,1
15.57,250.07,28.68,22474,144308,5/23/2018 2:00:00 PM,5/23/2018 2:00:00 PM,23,33,5,5,51,693.02,1,3943,86,6,340.72,977,2,31,88380,849,805.05
17.84,865.33,28.84,20991,117669,5/4/2018 3:00:00 PM,5/4/2018 3:00:00 PM,26,20,5,5,88,506.82,1,3822,99,6,345.19,807,2,31,80303,852,775.28
18.7,231.52,28.05,21784,116486,5/3/2018 2:00:00 PM,5/3/2018 2:00:00 PM,41,32,5,5,60,106.07,1,4079,105,6,343.71,845,2,31,79360,870,760.17
17.7,371.46,27.75,22242,125648,5/25/2018 4:00:00 PM,5/25/2018 4:00:00 PM,20,24,5,5,44,261.76,1,3823,80,6,339.84,973,2,31,83665,879,772.55
8.33,982.04,27.9,24275,291508,5/9/2018 7:00:00 PM,5/9/2018 7:00:00 PM,24,23,5,5,56,118.17,1,3673,88,6,347.55,743,2,31,168898,879,713.23
10.69,854.73,27.42,23461,219551,5/22/2018 6:00:00 PM,5/22/2018 6:00:00 PM,26,28,5,5,78,494,1,3990,99,6,346.54,707,2,31,133682,879,760.81
16.17,738.23,27.81,22301,137911,5/17/2018 5:00:00 PM,5/17/2018 5:00:00 PM,31,24,5,5,52,182.44,1,3821,95,6,340.52,780,2,31,86828,879,749.47
52.41,868.81,26.57,18715,35709,5/1/2018 5:00:00 PM,5/1/2018 5:00:00 PM,39,19,5,5,55,99.17,1,3578,106,6,311.92,475,2,31,33867,886,684.46
21.64,779.45,27.88,21674,100158,5/10/2018 3:00:00 PM,5/10/2018 3:00:00 PM,18,20,5,5,59,400.38,1,3974,84,6,348.92,763,2,31,69783,892,790.74
52.66,596.3,24.2,18573,35271,5/28/2018 9:00:00 AM,5/28/2018 9:00:00 AM,321,20,5,5,121,251.16,1,3151,403,5,275.97,284,2,31,33643,923,589.39
51,998.25,26.73,17658,34625,5/28/2018 8:00:00 AM,5/28/2018 8:00:00 AM,518,21,5,5,170,737.01,1,3093,880,5,273.29,241,2,32,32970,823,593.59
50.73,217.8,26.34,16374,32278,5/21/2018 7:00:00 AM,5/21/2018 7:00:00 AM,89,19,5,5,58,486.36,1,2935,139,5,271.75,66,2,32,30663,830,573.8
51.4,456.21,26.44,18603,36195,5/7/2018 8:00:00 AM,5/7/2018 8:00:00 AM,395,20,5,5,160,18.91,1,3230,1189,6,276.28,302,2,32,34452,831,639.84
