% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
50.49,871.81,26.14,15998,31684,5/21/2018 7:00:00 AM,5/21/2018 7:00:00 AM,110,16,4,4,62,733.41,1,2759,162,5,279.96,41,2,33,30093,833,603.77
13.87,829.65,28.72,23157,166970,5/18/2018 3:00:00 PM,5/18/2018 3:00:00 PM,31,22,4,4,74,738.05,1,3873,98,6,356.03,927,2,33,108728,834,839.65
53.4,337.39,28.23,20123,37687,4/4/2018 6:00:00 PM,4/4/2018 6:00:00 PM,21,24,4,4,238,512.22,1,3757,127,6,345.16,793,2,33,35619,835,737.96
52.04,248.11,29.71,20123,38668,4/12/2018 6:00:00 PM,4/12/2018 6:00:00 PM,26,25,4,4,227,22.41,1,3849,120,6,379.8,599,2,33,36586,835,735.85
54.44,460.39,28.32,21511,39511,3/27/2018 5:00:00 PM,3/27/2018 5:00:00 PM,29,24,4,4,250,975.24,1,3938,140,6,355.96,96,3,33,37458,835,837.29
20.2,332.9,28.85,23518,116450,5/2/2018 5:00:00 PM,5/2/2018 5:00:00 PM,47,24,4,4,63,339.3,1,4088,118,15,362.68,449,4,33,80949,836,891.23
50.3,243.7,25.21,12674,25199,1/15/2018 6:00:00 AM,1/15/2018 6:00:00 AM,14,28,4,4,73,972.04,1,2382,57,4,260.36,785,1,33,23890,837,544.39
15.96,205.6,28.81,21300,133493,5/8/2018 7:00:00 PM,5/8/2018 7:00:00 PM,44,18,4,4,161,148.22,1,3671,151,7,340.38,750,2,33,90874,837,761.4
15.2,204.82,28.91,19116,125767,2/1/2018 7:00:00 PM,2/1/2018 7:00:00 PM,30,20,4,4,62,42.76,1,3535,96,6,342.7,556,2,33,88240,839,721.04
50.97,977.5,26.01,13932,27335,1/29/2018 6:00:00 AM,1/29/2018 6:00:00 AM,484,22,4,4,38,951.73,1,2546,641,5,276.44,35,2,33,25961,839,641.92
51.77,662.5,26.09,17384,33583,5/28/2018 7:00:00 AM,5/28/2018 7:00:00 AM,442,17,4,4,194,595.9,1,3259,709,5,278.64,52,2,33,31948,840,588.09
