% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
53.74,423.82,27.97,20006,37230,3/13/2018 3:00:00 PM,3/13/2018 3:00:00 PM,41,23,6,6,71,822.29,1,4433,105,6,371.98,14,3,34,34537,863,863.71
51.15,442.46,25.8,18342,35863,3/12/2018 2:00:00 PM,3/12/2018 2:00:00 PM,124,21,6,6,77,840.47,1,4151,185,6,353.42,844,2,34,33713,890,787.46
17.99,578.87,27.61,17922,99601,3/8/2018 2:00:00 PM,3/8/2018 2:00:00 PM,17,16,6,6,371,957.67,1,3995,88,5,413.9,338,2,34,68242,894,652.68
17.06,549.83,30.31,20558,120516,3/8/2018 6:00:00 PM,3/8/2018 6:00:00 PM,41,24,6,6,105,831.51,1,4521,111,7,368.03,898,2,35,75798,808,849.92
51.47,320.64,26.77,13650,26517,3/19/2018 7:00:00 AM,3/19/2018 7:00:00 AM,51,16,6,6,64,164.72,1,2803,93,11,280.27,97,3,35,24996,813,826.44
53.33,64.81,27.85,20454,38353,3/19/2018 5:00:00 PM,3/19/2018 5:00:00 PM,47,29,6,6,79,136.11,1,4600,119,8,388.91,247,3,35,35842,825,910.55
15.42,594.52,29.46,22184,143898,3/8/2018 5:00:00 PM,3/8/2018 5:00:00 PM,28,27,6,6,103,319.67,1,4814,102,7,368.79,953,2,35,90163,835,865.61
56.34,847.01,28.45,19790,35127,3/20/2018 3:00:00 PM,3/20/2018 3:00:00 PM,39,21,6,6,83,942.21,1,4419,107,6,375.71,941,2,35,32795,836,863.63
15.37,285.78,27.35,18875,122816,3/5/2018 8:00:00 PM,3/5/2018 8:00:00 PM,28,19,6,6,96,819.03,1,4031,95,5,353.76,457,2,35,84009,841,690.41
46.84,620.67,25.47,16503,35235,3/5/2018 5:00:00 AM,3/5/2018 5:00:00 AM,205,192.88,6,6,32,974.97,1,2635,265,29,244.63,920,6,35,31546,841,2
53.22,400.83,29.1,20856,39189,3/15/2018 4:00:00 PM,3/15/2018 4:00:00 PM,35,29,6,6,102,867.41,1,4658,110,7,385.51,249,3,35,36663,851,938.2
16.13,293.44,28.11,20123,124758,3/6/2018 7:00:00 PM,3/6/2018 7:00:00 PM,30,19,6,6,160,789.87,1,4469,102,6,391.12,701,2,35,81703,852,782.21
55.7,93.57,28.24,21832,39191,3/27/2018 4:00:00 PM,3/27/2018 4:00:00 PM,48,30,6,6,88,32.79,1,4215,122,8,381.03,289,3,35,36978,852,938.05
10.29,657.51,28.95,20712,201329,3/23/2018 5:00:00 PM,3/23/2018 5:00:00 PM,27,23,6,6,105,550.94,1,4240,92,7,370.36,26,3,35,113707,855,795.8
15.48,229.28,28.57,22008,142204,3/14/2018 5:00:00 PM,3/14/2018 5:00:00 PM,36,23,6,6,94,556.13,1,4592,105,8,409.53,226,3,35,97469,858,915.49
50.09,333.06,27.27,18909,37747,3/6/2018 3:00:00 PM,3/6/2018 3:00:00 PM,31,20,6,6,132,86.11,1,4462,96,7,372.56,997,2,35,35316,875,852.27
16.21,48.47,28.16,20703,127722,3/8/2018 4:00:00 PM,3/8/2018 4:00:00 PM,33,21,6,6,153,38.29,1,4446,104,7,375.55,812,2,35,86345,878,874.99
17.83,853.54,27.78,21289,119371,3/14/2018 3:00:00 PM,3/14/2018 3:00:00 PM,44,23,6,6,76,39.61,1,4465,112,7,379.98,35,3,35,75972,883,824.45
48.95,953.94,26.11,13563,27706,3/19/2018 5:00:00 AM,3/19/2018 5:00:00 AM,86,18,6,6,64,694.25,1,2516,124,5,245.38,81,2,36,26344,821,634.63
47.89,545.55,26.33,14899,31109,3/5/2018 7:00:00 AM,3/5/2018 7:00:00 AM,67,19,6,6,43,505.22,1,3004,111,5,275.35,965,1,36,29503,824,565.45
16.07,365.73,29.14,19714,122695,3/8/2018 3:00:00 PM,3/8/2018 3:00:00 PM,29,19,6,6,279,828.62,1,4316,102,6,400.33,702,2,36,83633,846,760.37
54.24,209.16,27.22,23998,44243,3/26/2018 4:00:00 PM,3/26/2018 4:00:00 PM,45,143.74,6,6,950,496.01,1,4469,206,11,427.73,43,4,36,42072,849,1
52.72,100.18,26.92,20598,39074,3/19/2018 3:00:00 PM,3/19/2018 3:00:00 PM,57,22,6,6,92,895.4,1,4546,126,7,381.62,199,3,36,36641,850,914.49
14.22,249.29,28.52,19834,139452,3/7/2018 3:00:00 PM,3/7/2018 3:00:00 PM,39,18,6,6,216,483.1,1,4298,110,6,386.51,670,2,36,92764,852,759.77
14.13,101.18,28.59,22743,160935,3/22/2018 4:00:00 PM,3/22/2018 4:00:00 PM,26,23,6,6,93,780.59,1,4655,101,7,389.81,173,3,36,103220,855,923.94
15.76,835.5,26.38,20216,128308,3/5/2018 7:00:00 PM,3/5/2018 7:00:00 PM,19,29,6,6,92,781.79,1,4263,88,6,352.72,940,2,36,85723,872,801.06
15.89,585.52,27.58,23627,148684,3/13/2018 4:00:00 PM,3/13/2018 4:00:00 PM,40,26,6,6,90,976.45,1,4747,117,7,402.46,331,3,36,102211,874,947.73
9.89,364.18,29.78,23096,233470,3/1/2018 5:00:00 PM,3/1/2018 5:00:00 PM,25,2.3,6,6,55,609.75,1,4663,91,21,391.68,440,5,37,142809,817,1
42.97,17.66,29.41,21000,48866,3/21/2018 3:00:00 PM,3/21/2018 3:00:00 PM,47,24,6,6,82,79.7,1,4541,116,9,374.2,515,3,37,39306,821,961.53
16.21,684.53,28.69,22177,136831,3/13/2018 5:00:00 PM,3/13/2018 5:00:00 PM,47,22,6,6,86,705.99,1,4561,119,8,394.55,385,3,37,88506,837,963.88
15.05,383.48,28.7,21965,145956,3/7/2018 5:00:00 PM,3/7/2018 5:00:00 PM,29,25,6,6,124,421.6,1,4645,102,7,376.54,58,3,37,95415,847,906.12
16.19,307.12,28.27,23379,144424,3/21/2018 4:00:00 PM,3/21/2018 4:00:00 PM,52,22,6,6,93,85.15,1,4725,127,10,399.57,324,3,37,92399,855,991.36
